,Company name,Room Url,Company URL,Linkedin link,Typical Job Cost,Address,Phone
0,None,https://www.houzz.com/professionals/interior-designers-and-decorators/mint-decor-inc-pfvwus-pf~1544242121,None,None,None,None,None
1,None,https://www.houzz.com/professionals/interior-designers-and-decorators/three-leaf-interiors-pfvwus-pf~1639367403,None,None,None,None,None
2,None,https://www.houzz.com/professionals/interior-designers-and-decorators/dlt-interiors-debbie-travin-pfvwus-pf~1451344420,None,None,None,None,None
3,None,https://www.houzz.com/professionals/interior-designers-and-decorators/mara-hu-design-pfvwus-pf~438219126,None,None,None,None,None
4,None,https://www.houzz.com/professionals/interior-designers-and-decorators/interiors-by-maite-granda-pfvwus-pf~310393766,None,None,None,None,None
5,None,https://www.houzz.com/professionals/interior-designers-and-decorators/natalia-neverko-design-pfvwus-pf~26077571,None,None,None,None,None
6,None,https://www.houzz.com/professionals/interior-designers-and-decorators/chelsea-design-inc-pfvwus-pf~1795198086,None,None,None,None,None
7,None,https://www.houzz.com/professionals/interior-designers-and-decorators/interiors-by-maite-granda-pfvwus-pf~310393766,None,None,None,None,None
8,None,https://www.houzz.com/professionals/interior-designers-and-decorators/acra-designs-pfvwus-pf~941097515,None,None,None,None,None
9,None,https://www.houzz.com/professionals/interior-designers-and-decorators/khadine-schultz-interiors-pfvwus-pf~61798310,None,None,None,None,None
10,None,https://www.houzz.com/professionals/interior-designers-and-decorators/b-design-pfvwus-pf~1887529399,None,None,None,None,None
11,None,https://www.houzz.com/professionals/interior-designers-and-decorators/studio-790-interior-design-by-ann-ueno-pfvwus-pf~562059959,None,None,None,None,None
12,None,https://www.houzz.com/professionals/interior-designers-and-decorators/khadine-schultz-interiors-pfvwus-pf~61798310,None,None,None,None,None
13,None,https://www.houzz.com/professionals/interior-designers-and-decorators/dlt-interiors-debbie-travin-pfvwus-pf~1451344420,None,None,None,None,None
14,None,https://www.houzz.com/professionals/interior-designers-and-decorators/sofia-joelsson-design-pfvwus-pf~25235239,None,None,None,None,None
15,None,https://www.houzz.com/professionals/interior-designers-and-decorators/janet-patterson-interior-design-jpid-pfvwus-pf~1100067027,None,None,None,None,None
16,None,https://www.houzz.com/professionals/interior-designers-and-decorators/colors-of-design-group-pfvwus-pf~129775860,None,None,None,None,None
17,None,https://www.houzz.com/professionals/interior-designers-and-decorators/darla-powell-interiors-pfvwus-pf~153239923,None,None,None,None,None
18,None,https://www.houzz.com/professionals/interior-designers-and-decorators/jere-bradwell-pfvwus-pf~503408780,None,None,None,None,None
19,None,https://www.houzz.com/professionals/interior-designers-and-decorators/vivian-macia-interiors-llc-pfvwus-pf~562538451,None,None,None,None,None
20,None,https://www.houzz.com/professionals/interior-designers-and-decorators/edgewater-design-llc-pfvwus-pf~1417747637,None,None,None,None,None
21,None,https://www.houzz.com/professionals/interior-designers-and-decorators/colors-of-design-group-pfvwus-pf~129775860,None,None,None,None,None
22,None,https://www.houzz.com/professionals/interior-designers-and-decorators/yzda-yoshida-zanon-design-atrium-pfvwus-pf~344025929,None,None,None,None,None
23,None,https://www.houzz.com/professionals/interior-designers-and-decorators/cynthia-kriz-design-pfvwus-pf~218339093,None,None,None,None,None
24,None,https://www.houzz.com/professionals/interior-designers-and-decorators/international-designers-by-rita-chraibi-pfvwus-pf~1706536889,None,None,None,None,None
25,None,https://www.houzz.com/professionals/interior-designers-and-decorators/b-design-pfvwus-pf~1887529399,None,None,None,None,None
26,None,https://www.houzz.com/professionals/interior-designers-and-decorators/natalia-neverko-design-pfvwus-pf~26077571,None,None,None,None,None
27,None,https://www.houzz.com/professionals/interior-designers-and-decorators/fein-zalkin-interiors-pfvwus-pf~92415753,None,None,None,None,None
28,None,https://www.houzz.com/professionals/interior-designers-and-decorators/pepe-calderin-design-modern-interior-design-pfvwus-pf~1543598529,None,None,None,None,None
29,None,https://www.houzz.com/professionals/interior-designers-and-decorators/acra-designs-pfvwus-pf~941097515,None,None,None,None,None
0,None,https://www.houzz.com/professionals/interior-designers-and-decorators/interiors-by-bdesign-group-pfvwus-pf~187996082,None,None,None,None,None
1,None,https://www.houzz.com/professionals/interior-designers-and-decorators/pepe-calderin-design-modern-interior-design-pfvwus-pf~1543598529,None,None,None,None,None
2,None,https://www.houzz.com/professionals/interior-designers-and-decorators/b-design-pfvwus-pf~1887529399,None,None,None,None,None
3,None,https://www.houzz.com/professionals/interior-designers-and-decorators/chelsea-design-inc-pfvwus-pf~1795198086,None,None,None,None,None
4,None,https://www.houzz.com/professionals/interior-designers-and-decorators/pepe-calderin-design-modern-interior-design-pfvwus-pf~1543598529,None,None,None,None,None
5,None,https://www.houzz.com/professionals/interior-designers-and-decorators/mint-decor-inc-pfvwus-pf~1544242121,None,None,None,None,None
6,None,https://www.houzz.com/professionals/interior-designers-and-decorators/three-leaf-interiors-pfvwus-pf~1639367403,None,None,None,None,None
7,None,https://www.houzz.com/professionals/interior-designers-and-decorators/international-designers-by-rita-chraibi-pfvwus-pf~1706536889,None,None,None,None,None
8,None,https://www.houzz.com/professionals/design-build-firms/bbh-design-studio-pfvwus-pf~2113992868,None,None,None,None,None
9,None,https://www.houzz.com/professionals/interior-designers-and-decorators/sofia-joelsson-design-pfvwus-pf~25235239,None,None,None,None,None
10,None,https://www.houzz.com/professionals/interior-designers-and-decorators/colors-of-design-group-pfvwus-pf~129775860,None,None,None,None,None
11,None,https://www.houzz.com/professionals/interior-designers-and-decorators/edgewater-design-llc-pfvwus-pf~1417747637,None,None,None,None,None
12,None,https://www.houzz.com/professionals/interior-designers-and-decorators/edgewater-design-llc-pfvwus-pf~1417747637,None,None,None,None,None
13,None,https://www.houzz.com/professionals/interior-designers-and-decorators/andrea-upegui-design-pfvwus-pf~1136134926,None,None,None,None,None
14,None,https://www.houzz.com/professionals/interior-designers-and-decorators/cynthia-kriz-design-pfvwus-pf~218339093,None,None,None,None,None
15,None,https://www.houzz.com/professionals/interior-designers-and-decorators/interiors-by-bdesign-group-pfvwus-pf~187996082,None,None,None,None,None
16,None,https://www.houzz.com/professionals/interior-designers-and-decorators/mint-decor-inc-pfvwus-pf~1544242121,None,None,None,None,None
17,None,https://www.houzz.com/professionals/interior-decorators/sandra-britt-interiors-pfvwus-pf~62525030,None,None,None,None,None
18,None,https://www.houzz.com/professionals/interior-designers-and-decorators/dlt-interiors-debbie-travin-pfvwus-pf~1451344420,None,None,None,None,None
19,None,https://www.houzz.com/professionals/interior-designers-and-decorators/moniomi-design-pfvwus-pf~2013918915,None,None,None,None,None
20,None,https://www.houzz.com/professionals/interior-designers-and-decorators/jere-bradwell-pfvwus-pf~503408780,None,None,None,None,None
21,None,https://www.houzz.com/professionals/interior-designers-and-decorators/troy-dean-interiors-pfvwus-pf~1921230978,None,None,None,None,None
